"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
13,26,45,60,4,28,42,164,9,24,37,78,12,4,7
12,17,26,49,18,30,41,0,4,22,30,5,1,5,2
25,32,67,74,14,26,68,115,20,28,81,75,12,7,9
16,16,41,0,18,18,39,0,16,16,53,6,0,10,10
29,29,83,45,15,23,57,182,31,44,98,63,16,8,27
25,26,50,35,15,15,42,2,21,22,54,7,13,5,13
21,21,45,0,29,31,50,19,20,36,54,104,8,21,16
28,28,67,0,18,18,52,0,31,31,72,0,23,12,26
15,18,45,70,12,17,42,101,2,29,37,243,5,4,1
11,21,30,149,20,34,41,166,9,26,54,136,3,6,4
22,22,48,0,16,16,57,0,20,25,55,1,13,7,12
37,65,85,64,23,42,68,84,17,33,50,93,16,12,9
3,3,4,80,3,6,8,0,16,17,38,103,0,1,9
12,19,32,72,3,7,19,13,9,16,49,18,9,3,5
6,15,33,0,7,23,45,111,15,24,50,22,3,4,5
17,17,45,5,18,23,57,0,10,10,38,11,11,13,8
17,24,40,80,15,39,58,242,19,26,51,111,7,13,13
23,28,47,0,13,20,53,8,8,10,23,0,14,8,3
21,32,33,177,24,24,56,1,19,22,40,30,14,15,13
4,4,25,5,4,8,18,0,4,4,44,0,1,1,3
16,17,44,14,21,21,53,0,21,22,42,37,8,12,13
38,47,64,32,21,48,57,114,17,23,32,34,34,19,15
18,30,51,23,44,49,78,59,27,38,52,0,4,26,10
11,11,24,106,3,24,26,160,10,12,21,2,0,0,5
43,50,82,92,16,24,41,138,5,25,39,252,38,13,5
15,23,49,0,20,20,45,0,21,22,48,32,11,18,19
24,25,48,0,23,23,55,0,10,19,31,0,9,14,8
23,27,40,96,16,23,30,165,22,27,33,102,11,10,9
2,3,20,93,6,14,43,140,4,44,64,230,1,2,3
27,28,80,3,21,21,72,0,20,25,61,41,16,12,6
2,2,4,0,9,13,23,2,0,2,4,3,0,6,0
22,24,44,43,20,21,60,31,17,17,39,5,17,12,15
25,25,56,0,40,40,64,0,51,52,87,0,10,17,33
41,41,91,0,30,37,78,106,26,36,68,122,26,23,26
35,46,84,31,51,54,94,40,40,40,84,0,20,32,30
30,31,61,8,28,28,65,1,30,30,70,0,14,18,14
12,46,61,230,25,59,65,194,13,62,74,261,9,12,9
8,8,33,2,16,16,41,0,13,13,36,0,1,8,7
22,22,50,1,22,25,49,0,23,23,57,4,8,9,11
4,4,17,0,4,10,24,50,16,23,37,50,0,2,16
28,28,54,0,23,31,43,55,12,14,24,0,15,17,9
