"winner","red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3","blue_sig_str_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","blue_ctrl_time_rnd_1","blue_sig_str_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","blue_ctrl_time_rnd_2","blue_sig_str_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","blue_ctrl_time_rnd_3","blue_sig_str_head_rnd_1","blue_sig_str_head_rnd_2","blue_sig_str_head_rnd_3"
"red",23,31,39,71,30,34,50,19,31,43,60,0,7,9,7,15,23,33,73,14,33,37,182,20,42,56,139,9,9,14
"red",28,30,45,115,26,26,48,4,19,19,46,0,21,16,9,10,11,21,12,23,23,49,0,37,37,62,0,0,4,1
"blue",48,59,88,99,33,34,49,42,37,38,88,34,40,25,28,16,20,31,34,25,42,68,105,37,42,66,35,9,18,24
"red",14,16,51,0,18,18,58,0,17,18,51,25,6,11,11,7,12,19,26,12,13,21,56,14,14,19,42,2,4,8
"red",11,33,43,245,8,30,38,258,7,10,17,95,9,6,3,3,6,15,0,4,47,61,0,12,34,49,80,2,3,5
"red",47,47,82,0,8,23,29,70,41,41,81,0,17,3,30,13,13,32,0,2,7,12,152,27,29,70,12,11,2,27
"blue",17,24,49,104,42,42,93,6,57,59,127,10,9,26,42,18,35,53,40,44,45,102,3,127,130,223,0,11,36,120
"red",27,27,65,0,32,36,73,39,46,46,88,0,15,16,23,33,33,69,0,21,32,69,0,34,34,65,0,22,12,21
"blue",10,11,22,0,4,6,11,0,7,15,26,2,6,1,4,3,15,30,225,13,33,46,239,11,43,59,237,3,12,9
"red",20,34,52,251,22,24,46,53,24,26,40,82,18,9,13,5,12,16,21,29,38,69,9,21,22,55,8,3,15,12
"red",21,21,43,0,22,22,59,0,47,47,93,3,16,20,38,18,20,48,90,29,29,48,32,33,33,76,19,10,15,15
"red",5,14,18,138,27,38,58,200,0,1,1,3,0,23,0,4,20,22,88,6,21,30,45,2,3,4,42,2,5,1
"red",15,27,55,103,13,24,42,109,3,47,61,58,10,7,2,13,22,41,38,17,26,33,66,10,20,32,146,10,14,7
"red",34,34,65,2,13,30,42,201,20,62,74,199,11,7,14,30,30,73,0,7,16,26,33,4,8,23,58,10,3,4
"red",10,11,30,157,9,13,31,61,2,2,7,91,8,6,1,13,19,38,9,18,29,66,5,16,31,60,139,3,10,11
"blue",21,25,47,86,16,16,42,51,24,24,48,32,5,9,13,33,36,67,0,43,47,85,0,53,62,100,0,22,30,38
"blue",9,20,40,123,2,18,28,0,0,7,8,0,6,1,0,16,17,37,9,2,41,56,279,1,35,53,275,10,2,0
"red",36,52,86,13,43,47,88,0,45,46,83,0,24,24,24,37,40,88,36,35,37,110,28,40,40,120,10,22,26,27
"blue",14,20,35,61,23,41,59,114,8,17,27,67,2,7,3,11,15,23,110,14,22,33,68,11,20,28,139,6,9,9
"red",19,19,49,0,9,10,16,30,8,11,29,108,10,4,5,18,20,45,133,4,4,11,197,11,15,21,48,14,2,6
"red",4,16,20,206,24,39,58,236,0,18,21,282,1,19,0,6,18,24,8,9,9,12,0,2,11,14,1,0,3,2
"blue",17,17,45,0,8,11,20,190,2,4,10,19,12,2,2,25,29,76,48,15,31,51,14,31,71,90,218,16,12,26
"blue",14,14,49,0,17,17,62,0,12,80,96,0,12,9,9,23,23,42,7,30,30,63,4,7,47,59,247,12,28,5
"blue",18,18,63,0,23,23,56,4,17,21,53,0,13,16,15,14,14,38,0,20,23,43,10,22,40,63,59,9,12,9
"blue",8,8,14,97,18,18,37,38,20,33,69,71,2,5,10,7,11,19,46,28,28,61,11,34,35,70,30,2,19,27
"blue",6,6,8,12,10,11,27,41,15,32,52,11,5,10,11,2,52,58,281,5,37,46,191,8,47,64,121,2,3,5
"blue",13,14,30,27,9,22,29,26,8,23,34,82,5,5,4,15,16,57,1,21,48,69,160,15,28,58,67,6,12,11
"red",4,14,25,0,17,23,33,31,6,6,15,44,1,15,6,14,32,43,101,10,24,37,56,8,19,30,98,2,5,3
"blue",2,10,21,2,28,28,69,4,31,35,75,32,0,19,18,7,27,39,144,21,21,38,3,27,28,55,4,3,10,14
"red",22,24,49,101,32,42,68,7,23,31,48,124,11,9,6,12,12,42,4,16,21,65,43,6,20,36,112,6,10,1
"red",20,20,52,0,37,37,78,0,42,42,88,0,11,25,24,15,17,61,16,24,24,87,5,13,13,71,0,8,15,9
"blue",21,51,74,2,7,43,62,0,27,27,66,0,8,4,23,9,18,31,114,11,15,24,186,25,25,44,44,6,11,24
"blue",2,8,14,0,27,29,58,5,2,14,23,0,1,16,1,8,26,41,284,15,17,63,11,1,7,21,278,4,6,0
"blue",15,15,27,0,11,18,38,0,23,28,44,0,1,3,6,14,14,30,0,15,24,44,71,7,12,29,81,3,3,2
"red",26,26,56,0,36,36,82,0,27,53,91,127,10,24,17,23,23,63,17,33,33,73,9,18,18,57,0,9,21,11
"blue",21,28,48,5,20,23,64,0,26,38,77,61,13,13,13,27,28,60,27,19,22,50,41,13,19,42,28,14,14,10
"blue",18,20,56,0,11,23,32,0,17,18,42,0,5,5,3,21,22,27,54,17,29,42,246,20,20,38,0,13,12,14
"red",6,23,33,237,7,24,32,275,12,44,55,287,1,4,9,7,9,15,0,1,2,4,0,5,11,16,0,2,1,4
"blue",21,25,54,104,16,17,53,0,10,16,25,0,9,7,2,11,18,42,14,19,32,50,125,13,39,51,220,10,17,10
"blue",9,27,50,187,11,45,61,124,10,35,45,241,6,7,6,17,44,55,0,16,18,28,64,19,49,59,0,6,10,12
"red",37,37,72,0,26,26,49,3,31,31,73,0,12,8,15,31,31,80,0,18,18,50,4,16,16,63,0,20,14,14
"red",18,23,34,32,8,26,29,3,22,48,58,189,9,6,18,7,8,23,156,5,11,18,256,4,7,26,40,1,5,4
"blue",19,19,73,0,17,17,63,0,14,14,69,0,4,6,5,17,17,47,0,16,16,71,0,20,20,65,0,8,12,16
"red",6,39,61,231,40,50,72,24,3,39,63,275,1,5,2,13,13,38,0,47,48,119,0,4,10,16,0,12,36,2
"red",13,13,32,13,18,18,48,0,26,29,61,35,4,6,15,21,32,52,68,18,18,42,0,27,30,78,8,12,7,12
"blue",6,17,24,259,1,9,14,5,0,9,13,254,2,1,0,18,80,83,31,22,80,98,258,7,55,66,20,3,3,1
"blue",6,11,17,0,2,9,11,0,7,20,23,0,1,1,7,23,49,66,183,15,32,33,286,7,15,18,285,18,12,5
"red",16,41,50,218,6,36,44,255,9,24,34,193,5,3,5,9,20,30,0,16,30,40,0,32,37,54,7,3,8,28
"red",36,36,61,6,19,57,74,212,27,45,56,149,15,13,13,20,20,49,0,8,9,21,10,11,13,46,0,13,3,7
"blue",10,15,55,62,8,10,46,55,22,25,64,77,3,5,15,13,44,66,125,12,30,59,89,13,21,37,96,9,7,8
"red",6,13,25,205,16,21,48,123,16,17,42,82,3,6,11,6,10,21,3,12,23,42,0,9,23,44,68,0,5,5
