"winner","kd_rnd_1","sig_str_rnd_1","sig_str_attempt_rnd_1","tot_str_rnd_1","tot_str_attempt_rnd_1","td_rnd_1","td_attempt_rnd_1","sub_attempt_rnd_1","ctrl_time_rnd_1","kd_rnd_2","sig_str_rnd_2","sig_str_attempt_rnd_2","tot_str_rnd_2","tot_str_attempt_rnd_2","td_rnd_2","td_attempt_rnd_2","sub_attempt_rnd_2","ctrl_time_rnd_2","kd_rnd_3","sig_str_rnd_3","sig_str_attempt_rnd_3","tot_str_rnd_3","tot_str_attempt_rnd_3","td_rnd_3","td_attempt_rnd_3","sub_attempt_rnd_3","ctrl_time_rnd_3","sig_str_head_rnd_1","sig_str_head_attempt_rnd_1","sig_str_body_rnd_1","sig_str_body_attempt_rnd_1","sig_str_leg_rnd_1","sig_str_leg_attempt_rnd_1","sig_str_dist_rnd_1","sig_str_dist_attempt_rnd_1","sig_str_clinch_rnd_1","sig_str_clinch_attempt_rnd_1","sig_str_gnd_rnd_1","sig_str_gnd_attempt_rnd_1","sig_str_head_rnd_2","sig_str_head_attempt_rnd_2","sig_str_body_rnd_2","sig_str_body_attempt_rnd_2","sig_str_leg_rnd_2","sig_str_leg_attempt_rnd_2","sig_str_dist_rnd_2","sig_str_dist_attempt_rnd_2","sig_str_clinch_rnd_2","sig_str_clinch_attempt_rnd_2","sig_str_gnd_rnd_2","sig_str_gnd_attempt_rnd_2","sig_str_head_rnd_3","sig_str_head_attempt_rnd_3","sig_str_body_rnd_3","sig_str_body_attempt_rnd_3","sig_str_leg_rnd_3","sig_str_leg_attempt_rnd_3","sig_str_dist_rnd_3","sig_str_dist_attempt_rnd_3","sig_str_clinch_rnd_3","sig_str_clinch_attempt_rnd_3","sig_str_gnd_rnd_3","sig_str_gnd_attempt_rnd_3"
"blue",0,9,9,29,29,1,1,0,193,0,-13,-13,-33,-36,3,5,0,-33,0,-9,-13,-9,-13,-1,-1,0,-44,10,10,-1,-1,0,0,0,0,0,0,9,9,-13,-13,-1,-1,1,1,0,0,-10,-10,-3,-3,2,5,-5,-11,-6,-7,-8,-12,-1,-1,0,0
"blue",0,-12,-8,-13,-9,0,-1,0,-32,0,-30,-27,-24,-20,0,0,0,-100,0,-21,-17,-23,-19,0,1,0,-38,-8,-6,0,4,-4,-6,-10,-7,-2,-1,0,0,-26,-26,0,3,-4,-4,-19,-13,-11,-14,0,0,-18,-19,3,8,-6,-6,-16,-12,-4,-4,-1,-1
"red",0,13,14,14,21,1,2,0,114,0,-2,6,20,27,1,3,0,80,0,3,8,33,43,1,1,0,185,5,5,4,5,4,4,5,5,0,-1,8,10,-5,1,1,1,2,4,0,8,-2,-2,0,0,1,5,0,0,2,3,3,8,0,0,0,0
"red",0,19,42,23,46,0,1,0,36,0,18,29,40,51,1,3,0,174,0,9,13,79,87,2,2,0,211,0,18,9,11,10,13,17,40,2,2,0,0,6,16,10,11,2,2,8,20,8,7,2,2,3,7,-1,-1,7,7,7,11,0,0,2,2
"blue",0,-12,-6,-16,-12,-2,-1,0,-93,0,-5,-5,-20,-15,-2,0,0,-79,-1,-20,8,-39,-13,-1,0,0,-129,-7,-1,-6,-7,1,2,-4,3,-7,-8,-1,-1,-2,0,0,-2,-3,-3,-4,-2,1,1,-2,-4,-16,11,0,1,-4,-4,-16,17,0,0,-4,-9
"blue",0,-1,-4,-27,-33,-2,-8,1,-100,0,0,1,-29,-50,-1,0,0,-275,0,15,16,31,31,-1,-6,0,-71,-4,-7,2,3,1,0,2,2,-1,-2,-2,-4,-1,-1,0,1,1,1,1,3,-1,-2,0,0,15,16,0,0,0,0,2,6,3,4,10,6
"red",1,36,54,35,50,2,2,0,75,0,8,6,1,-1,2,3,0,203,0,-3,-11,-28,-41,3,1,0,132,38,58,4,4,-6,-8,-3,-1,6,7,33,48,11,10,-2,-3,-1,-1,-1,-6,2,2,7,10,0,-5,-1,-3,-2,-3,-1,-4,-5,-6,3,-1
"red",0,5,24,27,50,0,-1,0,95,1,23,31,21,30,0,-1,0,21,1,23,31,21,30,0,-1,0,121,5,22,3,3,-3,-1,5,22,0,0,0,2,2,0,19,27,2,4,14,17,5,8,4,6,2,0,19,27,2,4,14,17,5,8,4,6
"blue",0,-21,-22,-22,-24,-2,-2,0,-169,0,-21,-21,-34,-36,0,0,0,-56,0,-25,-12,-30,-24,-1,-1,0,-58,-22,-19,-3,-9,4,6,0,4,-15,-20,-6,-6,-18,-15,-3,-7,0,1,-15,-15,-6,-6,0,0,-22,-5,-2,-6,-1,-1,-16,2,-6,-9,-3,-5
"blue",0,4,7,-4,-6,1,1,0,124,0,-2,-1,-13,-14,-1,-1,0,-162,0,0,13,4,20,0,-1,0,-4,0,0,3,6,1,1,-1,-2,5,9,0,0,0,1,-1,-1,-1,-1,-3,-1,3,2,-2,-2,0,11,1,2,-1,0,-6,4,6,9,0,0
